short_code,river,arc_id,arc_type_id,name,description,type,sub_type,from_node_id,to_node_id,hydrologic_region_id,shape_length,model_source_id,source_id,is_reversible,flow_capacity,parent_arc_id,integration_status_id,network_version_id,is_active,connectivity_status,has_gis
C_HON021,HON,C_HON021,8.0,South Honcut Creek,,CH,ST,,,1,26949.8369753964,1,4,,,,1,12,True,connected,True
C_WBF039,WBF,C_WBF039,8.0,West Branch Feather River,,CH,ST,,,1,15381.9602026423,1,4,,,,1,12,True,connected,True
C_NFF008,NFF,C_NFF008,8.0,North Fork Feather River,,CH,ST,,,1,13059.1500048436,1,4,,,,1,12,True,connected,True
C_FTR072,FTR,C_FTR072,8.0,Feather River,,CH,ST,,,1,6684.88628020926,1,4,,,,1,12,True,connected,True
C_FTR067,FTR,C_FTR067,8.0,Feather River,,CH,ST,,,1,6437.59159761228,1,4,,,,1,12,True,connected,True
C_FTR063,FTR,C_FTR063,8.0,Feather River,,CH,ST,,,1,6178.4407374894,1,4,,,,1,12,True,connected,True
C_FTR059,FTR,C_FTR059,8.0,Feather River,,CH,ST,,,1,9914.99934364949,1,4,,,,1,12,True,connected,True
C_FTR051,FTR,C_FTR051,8.0,Feather River,,CH,ST,,,1,4828.1961748411,1,4,,,,1,12,True,connected,True
C_FTR048,FTR,C_FTR048,8.0,Feather River,,CH,ST,,,1,5134.88889580415,1,4,,,,1,12,True,connected,True
C_FTR045,FTR,C_FTR045,8.0,Feather River,,CH,ST,,,1,8776.90290896705,1,4,,,,1,12,True,connected,True
C_FTR039,FTR,C_FTR039,8.0,Feather River,,CH,ST,,,1,5400.3362316006,1,4,,,,1,12,True,connected,True
C_FTR036,FTR,C_FTR036,8.0,Feather River,,CH,ST,,,1,9047.09552626014,1,4,,,,1,12,True,connected,True
C_FTR030,FTR,C_FTR030,8.0,Feather River,,CH,ST,,,1,2341.12752007736,1,4,,,,1,12,True,connected,True
C_FTR028,FTR,C_FTR028,8.0,Feather River,,CH,ST,,,1,4258.33072368134,1,4,,,,1,12,True,connected,True
C_FTR025,FTR,C_FTR025,8.0,Feather River,,CH,ST,,,1,6157.68706187051,1,4,,,,1,12,True,connected,True
