short_code,source_mask,geopackage_source_id,xml_source_id,has_spatial_data,has_connectivity_data,schematic_type,name,type,sub_type,shape_length,hydrologic_region_id,network_version_id,is_active,created_by
ELT000,3,4.0,5.0,True,True,node,ELT000,CH,CNL,,2.0,12,True,2
D_WTPMOD_61_NU1,3,4.0,5.0,True,True,arc,,D,,29864.0820000004,2.0,12,True,2
D_ABN024_24_NA1,3,4.0,5.0,True,True,arc,Auburn Ravine Canal,D,CL,5422.98815351026,1.0,12,True,2
SJR101,3,4.0,5.0,True,True,node,SJR101,CH,STM,,2.0,12,True,2
MFY005,3,4.0,5.0,True,True,node,MFY005,CH,STM,,1.0,12,True,2
R_SRWWTP_SAC048,3,4.0,5.0,True,True,arc,,RT,,3605.13907355504,1.0,12,True,2
SR_24_CCK022,3,4.0,5.0,True,True,arc,,SR,,2500.00007543133,1.0,12,True,2
SCOTF,3,4.0,5.0,True,True,node,SCOTF,STR,,,1.0,12,True,2
CT_DAVIS,3,4.0,5.0,True,True,arc,,CT,,7500.00000351538,1.0,12,True,2
C_LWSTN,3,4.0,5.0,True,True,arc,Trinity River,CH,ST,2003.55865665765,1.0,12,True,2
R_26S_PU2_SRWWTP,3,4.0,5.0,True,True,arc,,RT,,31126.7273618304,1.0,12,True,2
FTR025,3,4.0,5.0,True,True,node,FTR025,CH,STM,,1.0,12,True,2
SAC275,3,4.0,5.0,True,True,node,SAC275,CH,STM,,1.0,12,True,2
MCD005,3,4.0,5.0,True,True,node,MCD005,CH,SG,,2.0,12,True,2
SFF011,3,4.0,5.0,True,True,node,SFF011,CH,SG,,1.0,12,True,2
MBT005,3,4.0,5.0,True,True,node,MBT005,CH,SG,,1.0,12,True,2
PLC006,3,4.0,5.0,True,True,node,PLC006,CH,SG,,1.0,12,True,2
SAC247,3,4.0,5.0,True,True,node,SAC247,CH,SG,,1.0,12,True,2
