id,calsim_id,name,description,reservoir_entity_id,variable_type,is_aggregate,aggregated_variable_ids,trigger_threshold,unit_id,temporal_scale_id,variable_version_id,variable_id,source_ids,created_by,updated_by
448,C_CSTIC,Castaic Total Release,Total release from Castaic,85,release_total,false,,,2,3,1,38ab763b-e35c-4940-898f-71d033c0db38,"{1,3,4}",1,
449,C_CSTIC_NCF,Castaic Normal Release,Normal controlled release from Castaic (≤ release capacity),85,release_normal,false,,,2,3,1,517598af-08c1-431b-82a0-4e08184e7f32,"{1,3,4}",1,
450,C_CSTIC_FLOOD,Castaic Flood Spill,Flood spill from Castaic (above release capacity),85,release_flood,false,,,2,3,1,6b4070a5-b1fa-4d32-b9a4-32bbd492d256,"{1,3,4}",1,
451,C_DELVE,Del Valle Total Release,Total release from Del Valle,86,release_total,false,,,2,3,1,a862f023-e000-4306-a31d-271e7d42f7bb,"{1,3,4}",1,
452,C_DELVE_NCF,Del Valle Normal Release,Normal controlled release from Del Valle (≤ release capacity),86,release_normal,false,,,2,3,1,d0b05bcb-278c-4c3c-8352-ed9f6f671b87,"{1,3,4}",1,
453,C_DELVE_FLOOD,Del Valle Flood Spill,Flood spill from Del Valle (above release capacity),86,release_flood,false,,,2,3,1,3b1c6266-1002-43de-ac1e-cebb0a8a8a9b,"{1,3,4}",1,
454,C_ELENR,Eleanor Total Release,Total release from Eleanor,87,release_total,false,,,2,3,1,e79d97c3-b9ee-4c51-be40-8795b1569efd,"{1,3,4}",1,
455,C_ELENR_NCF,Eleanor Normal Release,Normal controlled release from Eleanor (≤ release capacity),87,release_normal,false,,,2,3,1,fc6d747d-571b-425b-a58d-2a48e409524f,"{1,3,4}",1,
456,C_ELENR_FLOOD,Eleanor Flood Spill,Flood spill from Eleanor (above release capacity),87,release_flood,false,,,2,3,1,f2607969-3796-46bb-97ec-9c588f5d2b5f,"{1,3,4}",1,
457,C_HTCHY,Hetch Hetchy Total Release,Total release from Hetch Hetchy,88,release_total,false,,,2,3,1,f318e9e1-b4e7-4239-978e-ba1cdfef1a1c,"{1,3,4}",1,
458,C_HTCHY_NCF,Hetch Hetchy Normal Release,Normal controlled release from Hetch Hetchy (≤ release capacity),88,release_normal,false,,,2,3,1,723bd084-568b-4ff0-a5af-3f11b120cc20,"{1,3,4}",1,
459,C_HTCHY_FLOOD,Hetch Hetchy Flood Spill,Flood spill from Hetch Hetchy (above release capacity),88,release_flood,false,,,2,3,1,b27454e5-315f-432c-adfa-b865531c5eaf,"{1,3,4}",1,
460,C_LLOYD,Lloyd Total Release,Total release from Lloyd,89,release_total,false,,,2,3,1,d33c0b89-4a15-41fa-bb4b-0c53c7637248,"{1,3,4}",1,
461,C_LLOYD_NCF,Lloyd Normal Release,Normal controlled release from Lloyd (≤ release capacity),89,release_normal,false,,,2,3,1,ad7c5e3f-5d57-483f-b45b-04e2e5ef382c,"{1,3,4}",1,
462,C_LLOYD_FLOOD,Lloyd Flood Spill,Flood spill from Lloyd (above release capacity),89,release_flood,false,,,2,3,1,66ffebb2-c223-4314-a3cf-89f32b7fa2d6,"{1,3,4}",1,
